Date,Day,Weather,Min Temp (°C),Max Temp (°C),Humidity (%),Avg Temp (°C)
20260903,Thursday,Sunny periods. One or two showers later. There will be swells.,26 C,31 C,55 - 85,28.5
20260904,Friday,Sunny periods. One or two isolated showers in the afternoon.,26 C,31 C,55 - 90,28.5
20260905,Saturday,Sunny periods. One or two isolated showers later.,27 C,31 C,60 - 90,29.0
20260906,Sunday,Mainly cloudy with a few showers. Bright periods during the day. More showers in some areas with thunderstorms in the afternoon.,26 C,31 C,70 - 95,28.5
20260907,Monday,Sunny periods and one or two showers. More showers with thunderstorms in some areas later.,27 C,32 C,65 - 90,29.5
20260908,Tuesday,Mainly fine. Very hot during the day. Isolated showers in the afternoon.,27 C,33 C,60 - 90,30.0
20260909,Wednesday,Sunny periods. Isolated showers later.,26 C,31 C,60 - 90,28.5
20260910,Thursday,Sunny periods. Dry during the day. One or two showers later.,26 C,32 C,55 - 90,29.0
20260911,Friday,Mainly fine. Dry during the day. Cloudy periods and a few showers at night.,25 C,31 C,50 - 90,28.0
20260912,Saturday,Sunny periods and isolated showers. Showers will increase gradually with thunderstorms later. There will be swells.,25 C,32 C,55 - 95,28.5
20260913,Sunday,Mainly cloudy with a few showers. Showers will be heavier in some areas with squally thunderstorms at first. Bright periods in the afternoon. Seas will be rough with swells.,26 C,30 C,75 - 95,28.0
20260914,Monday,Sunny intervals. A few showers and isolated thunderstorms in the morning and at night.,26 C,31 C,65 - 95,28.5
20260915,Tuesday,Sunny periods. A few showers in the morning and at night.,27 C,31 C,65 - 95,29.0
20260916,Wednesday,Mainly fine.,27 C,31 C,60 - 85,29.0
20260917,Thursday,Sunny periods. One or two showers later.,27 C,31 C,60 - 90,29.0
20260918,Friday,Sunny periods.,27 C,31 C,60 - 85,29.0
